ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
BGD,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.913699,1698.350394,1855.739824
BGR,7809.425062,7395.849803,7655.129708,7876.866465,7055.935673,7548.855007,8334.081728,9427.73043,9828.148515
BHR,22514.23795,23654.35139,24744.29696,24989.40012,22634.11865,22608.48428,23742.98502,23991.05668,23503.97713
BHS,28006.37972,29485.62093,28783.55412,29980.06114,31295.06208,31562.63974,32718.6381,33767.50337,34863.7421
BIH,5092.551943,4778.636088,5131.394506,5329.635045,4727.277712,4994.68314,5394.59122,6072.184623,6108.510696
BLR,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293
BLZ,4423.489797,4505.621302,4568.502958,4705.60269,4775.955648,4818.403909,4887.577208,4884.734162,4815.163711
BMU,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113021.4174,117089.2863
BOL,2346.337155,2609.880814,2908.200095,3081.878823,3035.972214,3076.65895,3351.124044,3548.590155,3552.06876
BRA,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987,8710.09669,9925.386238,9001.234249,8717.186278
BRB,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346,18148.24493
BRN,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678,31628.32879,31086.75112
BTN,2563.257527,2538.9459,2472.714309,2652.214589,2752.664208,2930.562989,3286.574703,3243.486036,3316.175714
BWA,7617.32516,7050.573472,7224.965281,7780.653384,6799.870178,7243.870253,7893.232534,8279.601739,7961.325181
CAF,551.7500966,565.800697,380.2981676,424.4487513,377.4230017,402.1912906,450.900245,475.9536099,467.9074406
CAN,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271,46313.17137,46194.72523
CEB,13910.44737,13014.71588,13712.68451,14154.14254,12513.20184,12822.37622,14244.86448,16037.4819,16298.47876
CHE,88415.62803,83538.23003,85112.4644,86605.56338,82081.59716,80172.23209,80449.99451,82818.10816,81993.72713
CHI,,,,,,,,,
CHL,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13753.59444,14999.37009,15924.79424,14896.45387
CHN,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137,10216.63033
CIV,1208.583026,1243.273487,1415.871758,1561.463655,1972.546108,2013.382462,2111.027076,2314.050681,2276.333279
CMR,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.33011,1425.107818,1534.493702,1507.450206
COD,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375,557.0644183,580.7168672
COG,3562.216188,3922.868267,3884.847513,3754.195467,2461.49417,2074.970159,2191.220438,2577.701705,2279.969131
COL,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6716.911598,6428.676206
COM,1447.963587,1403.34862,1505.349473,1513.830379,1242.60319,1273.058953,1323.81159,1415.955313,1370.148207
CPV,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.963386,3292.645755,3617.327489,3603.781793
CRI,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591,11814.62657,12112.13442,12243.81143
CSS,9920.892099,10187.27161,10306.63453,10376.28359,10083.96487,9518.183873,9767.970059,10187.21231,10500.9719
