ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
URY,14236.68119,15171.58466,16973.67421,16831.97294,15613.76427,15387.14403,17322.14739,17277.97011,16190.12696
USA,49886.81811,51610.60528,53117.66785,55064.74455,56839.38177,57951.58408,60062.22231,62996.47129,65297.51751
UZB,1926.292997,2137.025122,2281.410973,2492.336643,2615.025134,2567.799207,1826.566919,1529.082864,1724.841134
VCT,6242.195332,6390.310632,6639.607146,6684.807367,6920.878074,7075.06582,7212.960181,7361.400962,7457.509504
VEN,10955.34991,12985.50533,12456.71245,16054.49051,,,,,
VGB,,,,,,,,,
VIR,39144.16577,37849.72872,34819.14775,33573.09703,34797.14047,35931.54125,35938.02439,,
VNM,1525.115988,1735.141276,1886.671896,2030.261955,2085.101484,2192.214539,2365.621666,2566.59695,2715.276036
VUT,3264.537017,3133.090209,3124.233078,3088.258303,2801.939848,2889.853036,3082.356323,3125.257989,3115.35862
WLD,10490.04941,10607.4393,10783.85762,10952.67643,10249.07227,10286.34164,10827.65858,11385.55287,11433.21572
WSM,3933.459357,4022.19912,4037.509315,3937.758712,4073.66601,4109.165135,4259.765001,4188.528346,4324.014018
XKX,3741.875052,3596.804655,3891.266363,4080.330717,3603.025501,3780.003689,4045.614209,4419.914327,4417.524062
YEM,1374.621285,1446.536354,1607.152365,1673.146354,1602.037841,1138.682995,960.5285337,824.1176287,774.3344898
ZAF,8007.412846,7501.469984,6832.456891,6433.187277,5734.633629,5272.918425,6132.479841,6374.028196,6001.400814
ZMB,1672.908251,1763.072733,1878.909697,1763.062571,1337.795586,1280.578447,1534.866751,1516.390661,1305.063254
ZWE,1093.654002,1304.969802,1430.000818,1434.89934,1445.071062,1464.583529,1548.170056,1683.740577,1463.98591
