Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","26/04/2021 14:32 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0DHmas
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2019,Belarus,BLR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Brazil,BRA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Cambodia,KHM,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,50
2019,China,CHN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,2016
2019,Cameroon,CMR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,27
2019,Congo,COG,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,"Dem. Rep. of the Congo",COD,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,63
2019,Colombia,COL,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,102
2019,Djibouti,DJI,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Eritrea,ERI,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,121
2019,Ethiopia,ETH,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,306
2019,Fiji,FJI,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,382
2019,Gambia,GMB,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,6
2019,Palestinian,PSE,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,512
2019,"United Kingdom of Great Britain and Northern Ireland",GBR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Georgia,GEO,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,15
2019,Germany,DEU,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ghana,GHA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,26
2019,Greece,GRC,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,6
2019,Guinea,GIN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,9
2019,"China, Hong Kong SAR",HKG,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Honduras,HND,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,India,IND,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,473
2019,Indonesia,IDN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,233
